genome	guild	numberofgenomes
2504136012	guild_1	4
2508501110	guild_2	8
2508501127	guild_3	4
2515154209	guild_4	4
2519899778	guild_5	2
2548877024	guild_1	4
2551306042	guild_6	3
2551306065	guild_6	3
2551306419	guild_7	12
2551306425	guild_8	7
2556921655	guild_9	4
2574179700	guild_10	7
2574179788	guild_2	8
2576861435	guild_11	7
2582580885	guild_7	12
2588253790	guild_12	2
2593339262	guild_8	7
2608642177	guild_2	8
2619619645	guild_13	8
2622736611	guild_13	8
2630968719	guild_14	1
2634166351	guild_15	6
2636416113	guild_8	7
2639762569	guild_16	3
2651869762	guild_11	7
2654587904	guild_13	8
2663763266	guild_17	3
2675903058	guild_18	4
2675903225	guild_4	4
2675903229	guild_15	6
2681813118	guild_19	2
2684622555	guild_10	7
2684622644	guild_18	4
2693429869	guild_19	2
2695420375	guild_10	7
2700989265	guild_20	2
2703718701	guild_21	2
2718217841	guild_22	1
2721755731	guild_4	4
2721755987	guild_23	6
2731957965	guild_9	4
2751185780	guild_18	4
2751185902	guild_11	7
2751186015	guild_24	5
2754412321	guild_24	5
2754412398	guild_24	5
2754412406	guild_24	5
2754412603	guild_7	12
2765235856	guild_5	2
2772190750	guild_25	7
2775507041	guild_26	2
2788499961	guild_13	8
2791354873	guild_8	7
2791355579	guild_8	7
2802428855	guild_7	12
2802429576	guild_23	6
2808606851	guild_24	5
2811995373	guild_6	3
2814122976	guild_10	7
2818991235	guild_11	7
2822641076	guild_17	3
2832623984	guild_27	2
2837165658	guild_15	6
2838923001	guild_25	7
2839600416	guild_12	2
2839605667	guild_9	4
2839739408	guild_2	8
2866505292	guild_11	7
2866510393	guild_16	3
2867284435	guild_16	3
2882174919	guild_13	8
2882319230	guild_25	7
2883409860	guild_23	6
2883485653	guild_15	6
2884070903	guild_1	4
2884239568	guild_13	8
2885010903	guild_7	12
2885808348	guild_8	7
2888057318	guild_2	8
2890107581	guild_9	4
2890201742	guild_25	7
2890451919	guild_3	4
2891545435	guild_7	12
2894602602	guild_10	7
2895623778	guild_20	2
2897468600	guild_7	12
2898133256	guild_7	12
2898334252	guild_7	12
2898615884	guild_27	2
2898631135	guild_18	4
2899037451	guild_11	7
2899678206	guild_7	12
2899721766	guild_10	7
2904606771	guild_25	7
2908374211	guild_17	3
2909394955	guild_23	6
2910016530	guild_23	6
2910186172	guild_13	8
2910361430	guild_13	8
2911324268	guild_2	8
2911933690	guild_10	7
2914460412	guild_23	6
2915591067	guild_25	7
2918608312	guild_3	4
2918655624	guild_4	4
2919119836	guild_3	4
2926017549	guild_21	2
2926303792	guild_26	2
637000076	guild_15	6
637000081	guild_1	4
638341184	guild_7	12
640427132	guild_8	7
641228504	guild_11	7
641522635	guild_7	12
642555121	guild_2	8
643886196	guild_2	8
646564579	guild_15	6
649633048	guild_25	7
649990020	guild_28	1
