KBaseGenomeID	AssemblyObject	GenomeObject	Name
GCF_000014005.1	19217/98211/11	19217/98219/13	Candidatus Koribacter versatilis Ellin345
GCF_008000815.1	19217/472954/1	19217/472956/1	Terriglobus albidus
GCF_000023405.1	19217/136887/11	19217/136890/13	Brachybacterium faecium DSM 4810
GCF_000718775.1	19217/72484/6	19217/72498/7	Streptomyces sp. NRRL S-31
GCF_004355185.1	19217/446419/1	19217/446421/1	Hymenobacter sp. 17J36-26
GCF_004329815.1	19217/444691/1	19217/444693/1	Flavobacterium silvisoli
GCF_014201875.1	19217/506750/1	19217/506752/1	Deinococcus humi
GCF_003148565.1	19217/364399/3	19217/364400/5	Tumebacillus permanentifrigoris
GCF_014196625.1	19217/506257/1	19217/506259/1	Martelella radicis
GCF_011762145.1	19217/391886/1	19217/391888/1	Sphingomonas naasensis
GCF_014200335.1	19217/506621/1	19217/506623/1	Paraburkholderia bryophila
GCF_013410795.1	19217/502639/3	19217/514656/1	Pseudomonas sp. H1D6A
GCF_003545865.1	19217/417771/1	19217/417772/1	Leptospira yasudae
GCF_004366815.1	19217/447316/1	19217/447318/1	Aminivibrio pyruvatiphilus
GCF_900105685.1	19217/296968/2	19217/296969/4	Verrucomicrobium sp. GAS474
