id	Resource Acquisition:Substrate uptake:aromatic acid transport	Resource Acquisition:Substrate uptake:biopolymer transport	Resource Acquisition:Substrate uptake:carbohydrate transport	Resource Acquisition:Substrate uptake:carboxylate transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition:Substrate uptake:ion transport	Resource Acquisition:Substrate uptake:lipid transport	Resource Acquisition:Substrate uptake:N compound transport	Resource Acquisition:Substrate uptake:nucleic acid component transport	Resource Acquisition:Substrate uptake:organophosphorus transport	Resource Acquisition:Substrate uptake:osmolyte transport	Resource Acquisition:Substrate uptake:other transport	Resource Acquisition:Substrate uptake:peptide transport	Resource Acquisition:Substrate uptake:S compound transport	Resource Acquisition:Substrate uptake:secondary metabolite transport	Resource Acquisition:Substrate uptake:vitamin transport	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization	Resource Acquisition:Substrate degradation:simple compound degradation	Resource Acquisition:Substrate assimilation:C1 compounds	Resource Acquisition:Substrate assimilation:N compounds	Resource Acquisition:Substrate assimilation:S compounds	Resource Acquisition:Substrate assimilation:P compounds	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration	Resource Use:Chemotrophy:chemolithoautotrophy	Resource Use:Phototrophy:photosystem	Resource Use:Phototrophy:pigments:core	Resource Use:Phototrophy:pigments:accessory	Stress Tolerance:General	Stress Tolerance:Specific:temperature:high	Stress Tolerance:Specific:temperature:low	Stress Tolerance:Specific:desiccation/osmotic/salt stress	Stress Tolerance:Specific:pH stress	Stress Tolerance:Specific:oxidative stress	Stress Tolerance:Specific:oxygen limitation	Stress Tolerance:Specific:envelope stress
2504136012	1	3	13	4	9	14	4	5	4	2	2	0	2	0	2	2	21	38	1	3	1	1	1	5	0	0	0	0	0	12	7	5	8	9	5	1	4
2508501110	0	3	2	3	7	11	3	2	1	3	2	0	0	0	2	1	5	28	4	4	1	0	0	8	0	2	1	4	4	11	8	4	8	5	3	0	1
2508501127	1	3	19	9	7	24	3	6	0	3	4	1	2	1	1	5	18	32	5	4	1	1	0	8	2	2	0	0	0	12	8	5	10	9	3	1	0
2515154209	0	0	2	8	5	13	1	1	1	2	0	0	0	0	0	4	4	26	3	4	0	0	1	2	5	2	0	0	0	8	8	2	6	5	1	0	0
2519899778	1	3	12	8	29	15	5	4	3	3	3	0	0	2	3	4	11	36	1	2	1	1	2	4	4	2	0	0	0	11	7	4	9	8	4	1	0
2548877024	0	3	11	5	4	16	2	5	0	1	0	0	2	0	3	2	24	32	1	3	1	1	0	5	0	0	0	0	0	11	7	5	5	8	4	1	4
2551306042	1	3	19	15	20	16	5	3	4	2	1	0	3	0	1	4	20	40	2	3	1	1	2	6	2	0	0	0	0	10	7	4	6	8	3	1	3
2551306065	0	3	19	14	20	13	5	2	5	1	1	0	3	1	2	6	17	40	1	3	1	0	1	5	2	0	0	0	0	10	7	4	6	8	3	1	3
2551306419	0	3	8	5	9	16	3	3	1	3	4	0	1	0	0	4	6	23	4	3	1	1	0	3	2	1	0	0	0	11	8	2	6	7	3	1	0
2551306425	1	3	24	9	47	28	7	7	6	3	6	0	1	2	3	4	13	43	5	2	1	1	1	5	3	2	0	0	0	12	7	4	11	9	4	1	0
2556921655	0	0	24	7	11	16	2	1	3	3	2	0	0	1	0	5	29	46	2	3	0	0	2	4	0	0	0	0	2	10	8	6	5	6	3	1	1
